y1,y2,year,flank1,flank2,axillary1,axillary2,breast1,breast2,bird_id,species
1430.2693,500.1248,2020,7560.1489,6901.9507,5221.6855,4570.2427,7780.1807,7488.45605,1,0
1600.6604,567.6927,2020,7560.1489,6901.9507,5221.6855,4570.2427,7780.1807,7488.45605,1,0
1466.6298,549.4658,2020,7560.1489,6901.9507,5221.6855,4570.2427,7780.1807,7488.45605,1,0
778.6575,300.7825,2020,1586.8986,2723.6716,5419.5659,5749.8828,2553.3892,1181.0046,2,0
737.7652,273.8692,2020,1586.8986,2723.6716,5419.5659,5749.8828,2553.3892,1181.0046,2,0
780.4963,256.9927,2020,1586.8986,2723.6716,5419.5659,5749.8828,2553.3892,1181.0046,2,0
9375.252,4506.9419,2020,38621.5352,25726.9844,58854.1328,44829.5703,28576.7949,37132.5117,3,0
9068.8262,3717.4741,2020,38621.5352,25726.9844,58854.1328,44829.5703,28576.7949,37132.5117,3,0
8485.5605,3777.4229,2020,38621.5352,25726.9844,58854.1328,44829.5703,28576.7949,37132.5117,3,0
4758.0029,1958.026,2020,16888.752,28409.5449,14894.1484,12858.3613,29791.1992,26614.0781,4,0
5639.4536,1870.194,2020,16888.752,28409.5449,14894.1484,12858.3613,29791.1992,26614.0781,4,0
5217.6846,1738.3951,2020,16888.752,28409.5449,14894.1484,12858.3613,29791.1992,26614.0781,4,0
4658.8154,1394.5809,2020,12887.3096,13913.0039,19226.1152,20564.959,13648.5996,15395.4639,5,0
4721.3472,1472.6707,2020,12887.3096,13913.0039,19226.1152,20564.959,13648.5996,15395.4639,5,0
5219.9878,1422.8374,2020,12887.3096,13913.0039,19226.1152,20564.959,13648.5996,15395.4639,5,0
3403.3,1889.5101,2020,17754.9863,11930.6758,41578.8281,40497.7383,31179.1191,23494.4883,6,0
3759.5083,1718.4896,2020,17754.9863,11930.6758,41578.8281,40497.7383,31179.1191,23494.4883,6,0
3577.9438,1307.6005,2020,17754.9863,11930.6758,41578.8281,40497.7383,31179.1191,23494.4883,6,0
3220.3826,1294.6444,2020,13084.292,17783.5254,21515.3398,11749.9951,14769.792,15219.7217,7,0
3473.6277,1302.4054,2020,13084.292,17783.5254,21515.3398,11749.9951,14769.792,15219.7217,7,0
3142.655,1170.2399,2020,13084.292,17783.5254,21515.3398,11749.9951,14769.792,15219.7217,7,0
1903.4423,667.9443,2020,4586.2612,4127.8149,5579.2437,5939.3022,3715.3745,4254.876,8,0
2000.6174,774.8181,2020,4586.2612,4127.8149,5579.2437,5939.3022,3715.3745,4254.876,8,0
1877.0704,655.5085,2020,4586.2612,4127.8149,5579.2437,5939.3022,3715.3745,4254.876,8,0
2402.5957,882.3793,2020,23395.4121,9100.8857,25378.5117,24329.6602,23407.1787,13120.46,9,0
2671.9258,929.3577,2020,23395.4121,9100.8857,25378.5117,24329.6602,23407.1787,13120.46,9,0
2806.8638,852.4749,2020,23395.4121,9100.8857,25378.5117,24329.6602,23407.1787,13120.46,9,0
4962.4565,2166.8735,2020,31368.1289,48471.418,59617.2266,57953.4883,50629.8281,53062.957,10,0
5511.3931,2269.0481,2020,31368.1289,48471.418,59617.2266,57953.4883,50629.8281,53062.957,10,0
5440.7876,2240.3035,2020,31368.1289,48471.418,59617.2266,57953.4883,50629.8281,53062.957,10,0
1951.2977,854.3836,2020,12456.6602,12062.2168,26268.3242,27056.4473,9649.6143,20815.6992,11,0
2048.458,827.9664,2020,12456.6602,12062.2168,26268.3242,27056.4473,9649.6143,20815.6992,11,0
1941.0391,867.3978,2020,12456.6602,12062.2168,26268.3242,27056.4473,9649.6143,20815.6992,11,0
1787.8506,735.1922,2020,2512.6416,4659.312,3359.4211,3501.2366,2735.0746,2650.12415,12,0
1785.3785,702.5922,2020,2512.6416,4659.312,3359.4211,3501.2366,2735.0746,2650.12415,12,0
1663.2036,762.7726,2020,2512.6416,4659.312,3359.4211,3501.2366,2735.0746,2650.12415,12,0
1046.0625,306.3115,2020,3356.2947,13226.5361,9755.8252,9902.4131,7685.6226,4809.8394,13,0
1005.8687,234.5717,2020,3356.2947,13226.5361,9755.8252,9902.4131,7685.6226,4809.8394,13,0
1063.8448,270.1082,2020,3356.2947,13226.5361,9755.8252,9902.4131,7685.6226,4809.8394,13,0
1533.1002,342.7475,2020,8224.7021,10385.207,4157.2231,4048.2607,4733.8286,11093.7891,14,0
1426.0681,404.6403,2020,8224.7021,10385.207,4157.2231,4048.2607,4733.8286,11093.7891,14,0
1337.5459,353.9979,2020,8224.7021,10385.207,4157.2231,4048.2607,4733.8286,11093.7891,14,0
1145.2753,462.3064,2020,4181.7285,4210.8047,4943.6328,4714.6831,4297.939,5053.4534,15,0
1019.9415,469.2207,2020,4181.7285,4210.8047,4943.6328,4714.6831,4297.939,5053.4534,15,0
1080.7655,498.8905,2020,4181.7285,4210.8047,4943.6328,4714.6831,4297.939,5053.4534,15,0
661.5455,344.1428,2020,7277.2051,7392.5283,15995.8203,14125.1943,8628.9302,5994.9519,16,0
